Paper Title;Year;Author;Citation;Publication;Url of paper;Summary;Field of Study;Location of Keyword;Type of Article;Removed;Notes
[PDF][PDF] Sunrise of Innovation: The Evolution of Solar Cells;;SB Sangale;0;researchgate.net;https://www.researchgate.net/profile/Antara-Saha-4/publication/379809350_Dr_Bhau_Mandavkar_Research_Centre/links/661b7fac43f8df018dfe3f37/Dr-Bhau-Mandavkar-Research-Centre.pdf#page=64;;;Introduction;Book;N;
[PDF][PDF] Financial Integration of North Macedonia and Adjustments of Financial Reports to the Value of European Union;2023;A Maksuti;0;researchgate.net;https://www.researchgate.net/profile/Ali-Maksuti/publication/376587468_Financial_Integration_of_North_Macedonia_and_Adjustments_of_Financial_Reports_to_the_Value_of_European_Union/links/657ed0a79d7bc03b30826de1/Financial-Integration-of-North-Macedonia-and-Adjustments-of-Financial-Reports-to-the-Value-of-European-Union.pdf;;Social Sciences;Methodology;Research;N;
[PDF][PDF] Global Health Trends: Challenges and Opportunities for Healthcare Management;2020;K Kelly;0;ijope.com;https://ijope.com/index.php/home/article/download/66/65;;Social Sciences;Literature Review;Research;N;
REVOLUTIONIZING LANGUAGE EDUCATION: THE IMPACT OF DIGITAL TECHNOLOGY ON TEACHING FOREIGN LANGUAGES;2023;K Dilora;0;uz-conference.com;https://uz-conference.com/index.php/p/article/view/180;;Applied Sciences;Methodology;Research;N;
Framing Analysis of Reporting on Electric Transportation Subsidies in Indonesia during 2023 by Tirto ID;2023;H Harliantara;0;jiss.publikasiindonesia.id;https://jiss.publikasiindonesia.id/index.php/jiss/article/view/891;;Social Sciences;NA;Research;Y;
DEVELOPMENT OF LIVING LABS WITHIN MEDIA INSTITUTIONS IN INDIA AND BENEFITS–AN ANALYTICAL REVIEW;2023;MD Rawat;0;mhnursing.or.kr;http://mhnursing.or.kr/index.php/JKPMHN/article/view/174;;Social Sciences;Conclusion;Research;N;
[PDF][PDF] Unraveling the Unprecedented Economic Implications of the COVID-19 Pandemic: Navigating Towards a Resilient and Sustainable Future;2023;S Gupta;0;ijisrt.com;https://ijisrt.com/assets/upload/files/IJISRT23DEC910.pdf;;Social Sciences;Literature Review;Research;N;
A Telehealth System Driven by Artificial Intelligence for Effective Patient Consultation and Diagnosis in Hospitals;2023;J Jayapradha;0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10395119/;;Applied Sciences;Literature Review;Research;N;
Framing Analysis of Reporting on Electric Transportation Subsidies in Indonesia during 2023 by Tirto ID.;;D Susilo;0;search.ebscohost.com;https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=27236692&AN=173575006&h=0UlxqNhcIJ3%2BODifr5if9Eb%2FgcLCEr7EmoZn5ywlbMpU183SWkae27HC6xlN%2FMgMz%2B58qXlnhSl1Oki0y6EYDg%3D%3D&crl=c;;NA;NA;NA;NA;
Understanding Cybersecurity Education for Teachers in Terms of Length of Service in Cirebon City;2023;OR Riyanto;0;e-journal.syekhnurjati.ac.id;http://e-journal.syekhnurjati.ac.id/index.php/ijce/article/view/31;;NA;NA;NA;NA;
[PDF][PDF] Advancing Biomedical Research: A Comprehensive Study of Global Impacts and Collaborations;2021;PT Williams;0;ijope.com;https://ijope.com/index.php/home/article/download/92/91;;Natural Sciences;Methodology;Research;N;
DEVELOPMENT OF LIVING LABS WITHIN MEDIA INSTITUTIONS IN INDIA AND BENEFITS–AN ANALYTICAL REVIEW;2023;MD Rawat;0;mhnursing.or.kr;http://mhnursing.or.kr/index.php/JKPMHN/article/view/174;;Applied Sciences;Conclusion;Research;N;
[PDF][PDF] The Advancement, Repercussions, and Ethical Concerns of Robotics Development;2023;S Ness;0;researchgate.net;https://www.researchgate.net/profile/Charles-Daniel-8/publication/377208934_The_Advancement_Repercussions_and_Ethical_Concerns_of_Robotics_Development/links/659a1b8f2468df72d3ff8460/The-Advancement-Repercussions-and-Ethical-Concerns-of-Robotics-Development.pdf;;Applied Sciences;Discussion;Research;N;
A Telehealth System Driven by Artificial Intelligence for Effective Patient Consultation and Diagnosis in Hospitals;2024;J Jayapradha;0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10395119/;;Applied Sciences;Discussion;Research;N;
[PDF][PDF] Imagining the Unseen: Text-driven realism in artificial image generation;2024;C Mohith;0;datacomjournal.com;https://www.datacomjournal.com/article/36/5-1-1-671.pdf;;Natural Sciences;Research;Research;N;
Machine Learning Technique to Predict the Right Buying and Selling for EUR_USD;2023;MEL Mahjouby;0;ijisae.org;https://ijisae.org/index.php/IJISAE/article/view/4856;;Applied Sciences;Introduction;Research;N;
STRENGTHENING CYBERCRIME CONTROLAND INVESTIGATION PROTOCOLS FORSAFE GUARDING INDIAN CITIZENS.;;DG KIRITBHAI;0;journal.ijpub.org;https://journal.ijpub.org/index.php/ijrar/article/view/17;;Applied Sciences;Methodology;Research;N;
[PDF][PDF] The Role of International Policies in Addressing Global Environmental Challenges;2016;L Gang;0;ijope.com;https://ijope.com/index.php/home/article/download/28/27;;Social Sciences;Methodology;Research;N;
ASSET LIABILITY MANAGEMENT PRACTICES AND NPA TRENDS IN INDIAN PUBLIC AND PRIVATE SECTOR BANKS;2023;DR Shah;0;iejse.com;https://iejse.com/journals/index.php/iejse/article/view/49;;Applied Sciences;Methodology;Research;N;
Meta-Learning Strategies for Efficient Knowledge Transfer in Multitask Machine Learning Environments;2023;T Kaushik;0;edupublications.com;https://edupublications.com/index.php/ejiar/article/view/40;;Applied Sciences;Methodology;Research;N;
Quantum Computing's Double-Edged Sword Unravelling the Vulnerabilities in Quantum Key Distribution for Enhanced Network Security;2023;I Anantraj;0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10420896/;;Applied Sciences;Methodology;Research;N;
Bacterial Infections Associated with COVID-19 Infection in Thi-Qar Province, Iraq;2023;TF Hassen;0;medclinrese.org;https://www.medclinrese.org/peer-review/bacterial-infections-associated-with-covid19-infection-in-thiqar-province-iraq-513.html;;Natural Sciences;Discussion;Research;N;
Simulation and Analysis of Solar and Wind Hybrid System for Off-Grid Application Using Dig-Silent Power Factory;2023;H Dahiya;0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10351867/;;Applied Sciences;Discussion;Research;N;
[PDF][PDF] Quantum machine learning: A theoretical overview of quantum computing applications;2019;Y Bhomia;0;thepharmajournal.com;https://www.thepharmajournal.com/archives/2019/vol8issue4S/PartA/S-12-12-422-845.pdf;;Applied Sciences;Discussion;Research;N;
STRENGTHENING CYBERCRIME CONTROLAND INVESTIGATION PROTOCOLS FORSAFE GUARDING INDIAN CITIZENS.;2023;DG KIRITBHAI;0;journal.ijpub.org;https://journal.ijpub.org/index.php/ijrar/article/view/17;;Applied Sciences;Discussion;Research;N;
[PDF][PDF] Advancing Biomedical Research: A Comprehensive Study of Global Impacts and Collaborations;2021;PT Williams;0;ijope.com;https://ijope.com/index.php/home/article/download/92/91;;Applied Sciences;Methodology;Research;N;
Entrepreneurship and innovation ecosystems: fostering sustainable development in Pakistan;2023;S Ali;0;pakistanresearchletter.com;http://pakistanresearchletter.com/index.php/Journal/article/view/18;;Social Sciences;Discussion;Research;N;
Good Governance Practices in Indian Municipalities Leveraging Technology for Efficient Service Delivery;2014;KR Narayanan;0;internationaljournals.org;https://internationaljournals.org/index.php/ijtd/article/view/9;;Social Sciences;Methodology;Research;N;
Embedding Social Media in Education: Cultivating Engagement and Collaboration in the Digital Learning Environment;2024;A Kumari;0;igi-global.com;https://www.igi-global.com/chapter/embedding-social-media-in-education/342473;;Applied Sciences;NA;Book;Y;
Solitary Confinement in Bangladeshi Prison a Comparative Study;2023;MA Husna;0;103.133.167.11;http://103.133.167.11:8080/handle/123456789/4261;;Social Sciences;Discussion;Book;N;Appears 2 times
[PDF][PDF] Detecting Traffic Rule Violations and Promoting Road Safety through Artificial Intelligence;2023;SBK Sezan;0;researchgate.net;https://www.researchgate.net/profile/Sanjid-Sezan/publication/374838813_Detecting_Traffic_Rule_Violations_and_Promoting_Road_Safety_through_Artificial_Intelligence/links/65312fcc24bbe32d9a5134ce/Detecting-Traffic-Rule-Violations-and-Promoting-Road-Safety-through-Artificial-Intelligence.pdf;;Applied Sciences;Results;Research;N;
Interpretable Models for Healthcare: A Comparative Analysis of Explainable Machine Learning Approaches;2023;AR Mehta;0;ijnms.com;https://ijnms.com/index.php/ijnms/article/view/221;;Applied Sciences;Methodology;Research;N;
[PDF][PDF] Leveraging Artificial Intelligence for Social Benefit Prospects, Difficulties, and Effects;2023;S Saeed;0;researchgate.net;https://www.researchgate.net/profile/Sultan-Saeed-2/publication/377721152_Leveraging_Artificial_Intelligence_for_Social_Benefit_Prospects_Difficulties_and_Effects/links/65b3b31079007454973b92c4/Leveraging-Artificial-Intelligence-for-Social-Benefit-Prospects-Difficulties-and-Effects.pdf;;NA;NA;NA;NA;
Instagram-Driven Social Media Trend Forecasting with Learning Algorithm using Live Dataset;2024;P Nagaraj;0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10452604/;;Applied Sciences;Introduction;Research;N;
A geo-spatial analysis of precipitation distribution and its impacts on vegetation in Rwanda;2023;RA Shema;0;publish.mersin.edu.tr;https://publish.mersin.edu.tr/index.php/agis/article/view/1362;;Applied Sciences;Introduction;Research;N;
Explainability in Machine Learning: Bridging the Gap Between Model Complexity and Interpretability;;R Kaushik;1;edupublications.com;https://edupublications.com/index.php/ejiar/article/view/38;;Applied Sciences;Discussion;Research;N;
Robust Attack Identification Strategy to Prevent Document Image Forgeries by using Enhanced Learning Methodology;2023;RT Prabu;0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/10369395/;;Applied Sciences;Methodology;Research;N;
[PDF][PDF] Strategic Management in the Digital Era: A Comparative Study of Industry Leaders;2019;J Bird;0;ijope.com;https://ijope.com/index.php/home/article/download/59/58;;Applied Sciences;Discussion;Research;N;
[PDF][PDF] The Role of International Policies in Addressing Global Environmental Challenges;2016;L Gang;0;ijope.com;https://ijope.com/index.php/home/article/download/28/27;;Applied Sciences;Discussion;Research;N;
The Role of Central Bank Digital Currencies (CBDCs) in Reshaping Monetary Policy: A Global Analysis of Economic Implications and Implementation Challenges.;2023;M Kulasekhar;0;eelet.org.uk;https://eelet.org.uk/index.php/journal/article/view/763;;Social Sciences;Discussion;Research;N;
Climate Finance and its Role in Climate Policy;2023;C Scott;0;carijournals.org;https://www.carijournals.org/journals/index.php/JCP/article/view/1550;;Natural Sciences;Introduction;Research;N;
A Study of Investment Systems in Equity Mutual Funds in India;2023;F Feroze;0;mijbms.com;https://www.mijbms.com/portal/index.php/publish/article/view/4;;Social Sciences;Discussion;Research;N;
[BOOK][B] EXISTANCE OF LIBRARIES IN MODERN TECHNOLOGICAL ERA;2023;SP MYLAPILLI;0;books.google.com;https://books.google.com/books?hl=en&lr=&id=T2DjEAAAQBAJ&oi=fnd&pg=PR2&dq=%22As+of+my+last+knowledge+update%22+-%22ChatGPT%22&ots=2KNlKEoAYT&sig=NAOjRqMIzyI9EcCqEeV6CaDIzEs;;Social Sciences;Discussion;Book;N;
[HTML][HTML] Role of PCSK9 inhibition during the inflammatory stage of SARS-COV-2: an updated review;2024;H Arsh;0;journals.lww.com;https://journals.lww.com/annals-of-medicine-and-surgery/fulltext/2024/02000/role_of_pcsk9_inhibition_during_the_inflammatory.40.aspx;;Applied Sciences;Discussion;Research;N;
[PDF][PDF] Factors Affecting Islamic School Performance: Dynamic Managerial Capabilities of School Principals Influenced by Networking and Motivation;2023;M Chotibuddin;0;ijaemr.com;https://www.ijaemr.com/uploads/pdf/archivepdf/2023/IJAEMR_598.pdf;;Natural Sciences;Discussion;Research;N;
Pak-Afghan Relations: A Case of Taliban Regime Past and Present;;S Akram;0;jprpk.com;https://jprpk.com/index.php/jpr/article/view/399;;Social Sciences;Introduction;Research;N;
The effectiveness of using quizizz to improve the achievement of indonesian language learning outcomes on synonyms and antonyms material in grade 5 elementary …;2024;A Hariyastuti;0;ojs.unpkediri.ac.id;https://ojs.unpkediri.ac.id/index.php/pgsd/article/view/21293;;Applied Sciences;Introduction;Research;N;
Revolutionizing Fan Engagement: Adopting Trends and Technologies in The Vibrant Indian Sports Landscape;2023;K Mahajan;2;ijmthk.com;https://www.ijmthk.com/index.php/ijmt/article/view/35;;Applied Sciences;Discussion;Research;N;
[PDF][PDF] Factors Affecting Islamic School Performance: Dynamic Managerial Capabilities of School Principals Influenced by Networking and Motivation;2023;M Chotibuddin;0;ijaemr.com;https://www.ijaemr.com/uploads/pdf/archivepdf/2023/IJAEMR_598.pdf;;Applied Sciences;Discussion;Research;N;
Pak-Afghan Relations: A Case of Taliban Regime Past and Present;2024;S Akram;0;jprpk.com;https://jprpk.com/index.php/jpr/article/view/399;;Social Sciences;Introduction;Research;N;
Ilomata International Journal of Tax & Accounting;;P No;0;ilomata.org;https://ilomata.org/index.php/ijtc/article/view/956;;Applied Sciences;Introduction;Research;N;
[PDF][PDF] POLITICAL PARTICIPATION AND WOMEN: LEGAL FRAMEWORKS AND CHALLENGES;;MNH SK;0;irjmets.com;https://www.irjmets.com/uploadedfiles/paper/issue_1_january_2024/48619/final/fin_irjmets1705822941.pdf;;Social Sciences;Discussion;Research;N;
Disrupting Financial Services: A Case Study on Capital One's Fintech Odyssey;;N Naseema;0;igi-global.com;https://www.igi-global.com/chapter/disrupting-financial-services/340770;;Applied Sciences;NA;Book;N;
A Study of Future of Economy in Islamic Republic of Pakistan;2023;MA Mahesar;0;alqamarjournal.com;https://alqamarjournal.com/index.php/alqamar/article/view/1422;;Applied Sciences;Discussion;Research;N;
Niti Aayog;5;V Hans;0;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4653934;;Social Sciences;Discussion;Research;N;
CHANGING VARIATION IN THE STUDY OF SOCIAL EXCLUSION IN INDIAN SOCIETY;2022;DP DUBEY;0;ijeponline.com;http://ijeponline.com/index.php/journal/article/view/832;;Social Sciences;Results;Research;N;
Detection of Drowsiness in Drivers Using TensorFlow Framework;2024;TSB Budati;0;igi-global.com;https://www.igi-global.com/chapter/detection-of-drowsiness-in-drivers-using-tensorflow-framework/341114;;Applied Sciences;NA;Book;N;
[PDF][PDF] Examining the Influence of Next. JS on Website Speed and Search Engine Optimization (SEO);2024;S Daniel;0;researchgate.net;https://www.researchgate.net/profile/Samon-Daniel/publication/376829045_Examining_the_Influence_of_NextJS_on_Website_Speed_and_Search_Engine_Optimization_SEO_Authors/links/658af1323c472d2e8e906819/Examining-the-Influence-of-NextJS-on-Website-Speed-and-Search-Engine-Optimization-SEO-Authors.pdf;;Applied Sciences;Discussion;Research;N;
Revolutionizing Wellness: The IoT Smart Bottle for Health Monitoring;2023;M Chandu;0;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4745790;;Applied Sciences;Results;Research;N;
CHANGING VARIATION IN THE STUDY OF SOCIAL EXCLUSION IN INDIAN SOCIETY;2022;DP DUBEY;0;ijeponline.com;http://ijeponline.com/index.php/journal/article/view/832;;Social Sciences;Literature Review;Research;N;
Detection of Drowsiness in Drivers Using TensorFlow Framework;2024;TSB Budati;0;igi-global.com;https://www.igi-global.com/chapter/detection-of-drowsiness-in-drivers-using-tensorflow-framework/341114;;Applied Sciences;NA;Book;N;
[PDF][PDF] Examining the Influence of Next. JS on Website Speed and Search Engine Optimization (SEO);2024;S Daniel;0;researchgate.net;https://www.researchgate.net/profile/Samon-Daniel/publication/376829045_Examining_the_Influence_of_NextJS_on_Website_Speed_and_Search_Engine_Optimization_SEO_Authors/links/658af1323c472d2e8e906819/Examining-the-Influence-of-NextJS-on-Website-Speed-and-Search-Engine-Optimization-SEO-Authors.pdf;;Applied Sciences;Discussion;Research;N;
Revolutionizing Wellness: The IoT Smart Bottle for Health Monitoring;2023;M Chandu;0;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4745790;;Applied Sciences;Discussion;Research;N;
Circular Economy and Sustainable Development: A Review and Research Agenda;2024;B Sasikala;1;eelet.org.uk;https://eelet.org.uk/index.php/journal/article/view/635;;Social Sciences;NA;Research;Y;
Socio-Economic Impact of MGNREGA–A Paradigm shift with special reference to women senior citizens;2023;MM Muthumari;0;eelet.org.uk;https://www.eelet.org.uk/index.php/journal/article/view/992;;Social Sciences;Conclusion;Research;N;
TRENDS IN INTERNATIONAL BUSINESS IN SPORTS;;M JARADAT;0;cuj.ubv.ro;https://cuj.ubv.ro/ssh/article/view/21;;Social Sciences;NA;Research;Y;
[PDF][PDF] Circular Economy and Sustainable Development: A Review and Research Agenda;;DP Dhinakaran;0;api.scienceweb.uz;https://api.scienceweb.uz/storage/publication_files/609/17402/6596caaca69c2___European+Economic+Letters4%20(1).pdf;;Social Sciences;Introduction;Research;N;
Revolutionizing Fan Engagement: Adopting Trends and Technologies in The Vibrant Indian Sports Landscape;2023;K Mahajan;2;ijmthk.com;https://www.ijmthk.com/index.php/ijmt/article/view/35;;Social Sciences;NA;Research;Y;
[PDF][PDF] Process Automation 2.0 Using a Framework for Generative AI;2024;S Ness;0;researchgate.net;https://www.researchgate.net/profile/Godwin-Olaoye/publication/377237663_Process_Automation_20_Using_a_Framework_for_Generative_AI/links/659cb7ed6f6e450f19d7942e/Process-Automation-20-Using-a-Framework-for-Generative-AI.pdf;;Applied Sciences;Result;Research;N;
Detection of Drowsiness in Drivers Using TensorFlow Framework;2023;TSB Budati;0;igi-global.com;https://www.igi-global.com/chapter/detection-of-drowsiness-in-drivers-using-tensorflow-framework/341114;;Natural Sciences;Discussion;Book;N;
